user_id,activity_date,long_view_rate_t,dominant_tab,prior_7d_sessions_per_day,prior_7d_avg_minutes_per_session,sessions_t,future_7d_sessions
0,2022-04-16,0.03954802259887006,0,1.4285714285714286,12.475448333333333,1,32
0,2022-04-17,0.0,0,1.0,19.014388095238097,1,32
0,2022-04-18,0.0,0,1.1428571428571428,16.639924999999998,2,33
0,2022-04-19,0.14925373134328357,1,1.1428571428571428,11.06231875,4,30
0,2022-04-20,0.15789473684210525,0,1.7142857142857142,11.744659722222224,9,24
0,2022-04-21,0.08856088560885608,1,2.5714285714285716,15.157285185185186,5,24
0,2022-04-22,0.11890243902439024,1,3.142857142857143,18.50050606060606,7,21
0,2022-04-23,0.3018867924528302,4,4.142857142857143,18.04535402298851,4,26
0,2022-04-24,0.05263157894736842,0,4.571428571428571,16.9658515625,1,31
0,2022-04-25,0.14556962025316456,1,4.571428571428571,16.983796875,3,34
0,2022-04-26,0.10472972972972973,1,4.714285714285714,19.901764141414144,1,39
0,2022-04-27,0.09352517985611511,1,4.285714285714286,24.686549444444445,3,43
0,2022-04-28,0.0954653937947494,1,3.4285714285714284,26.880652083333334,5,45
0,2022-04-29,0.07628294036061026,1,3.4285714285714284,26.95137777777778,4,50
0,2022-04-30,0.07801418439716312,1,3.0,32.615524603174606,9,49
0,2022-05-01,0.07269422989550205,0,3.7142857142857144,36.83587307692308,6,52
1,2022-04-15,0.2857142857142857,1,2.2857142857142856,7.406763541666666,2,13
1,2022-04-16,0.45454545454545453,1,2.4285714285714284,6.168699019607842,2,12
1,2022-04-17,0.7027027027027027,1,2.4285714285714284,6.214538235294117,4,14
1,2022-04-18,0.5463917525773195,1,2.7142857142857144,12.47446403508772,2,14
1,2022-04-19,0.5088757396449705,1,2.2857142857142856,18.061822916666667,3,12
1,2022-04-20,0.0,1,2.2857142857142856,19.244460416666666,1,13
1,2022-04-21,0.0,1,2.0,19.885042857142857,1,18
1,2022-04-23,0.5714285714285714,1,1.8571428571428572,21.414661538461537,1,24
1,2022-04-24,0.5565217391304348,1,1.7142857142857142,23.430972222222223,6,21
1,2022-04-25,0.4897959183673469,1,2.0,17.00340595238095,2,23
1,2022-04-26,0.6470588235294118,1,2.0,16.04059761904762,1,27
1,2022-04-27,0.6923076923076923,1,1.7142857142857142,13.485015277777777,2,27
1,2022-04-28,0.375,1,1.8571428571428572,12.889346153846153,6,22
1,2022-04-29,0.38271604938271603,1,2.5714285714285716,10.935080555555555,4,19
1,2022-04-30,0.39869281045751637,1,3.142857142857143,9.999831818181818,3,20
1,2022-05-01,0.7,1,3.4285714285714284,11.0424875,3,21
2,2022-04-15,0.7553956834532374,1,4.571428571428571,86.5208625,3,43
2,2022-04-16,0.6267409470752089,1,4.428571428571429,87.72278978494623,9,38
2,2022-04-17,0.6774193548387096,1,5.285714285714286,73.63288693693694,5,40
2,2022-04-18,0.572,1,5.285714285714286,64.72018063063064,5,39
2,2022-04-19,0.6666666666666666,1,5.285714285714286,54.870155405405406,5,42
2,2022-04-20,0.7321428571428571,1,5.285714285714286,45.9785945945946,6,44
2,2022-04-21,0.7942583732057417,1,5.285714285714286,38.154982882882884,5,45
2,2022-04-22,0.47384615384615386,1,5.428571428571429,38.05389868421053,8,42
2,2022-04-23,0.6976744186046512,1,6.142857142857143,36.33512751937985,4,43
2,2022-04-24,0.6981132075471698,1,5.428571428571429,36.95197938596491,7,43
2,2022-04-25,0.6722689075630253,1,5.714285714285714,39.26691458333333,4,45
2,2022-04-26,0.6642066420664207,1,5.571428571428571,41.546261111111114,8,44
2,2022-04-27,0.5097493036211699,1,6.0,41.25627380952381,8,42
2,2022-04-28,0.6076388888888888,1,6.285714285714286,40.39379166666667,6,41
2,2022-04-29,0.5044776119402985,1,6.428571428571429,40.4400637037037,5,41
2,2022-04-30,0.5318181818181819,1,6.0,44.36063452380953,5,43
2,2022-05-01,0.5532467532467532,1,6.142857142857143,49.53491511627907,7,40
3,2022-04-15,0.47333333333333333,1,4.428571428571429,25.389286559139787,4,43
3,2022-04-16,0.3546218487394958,1,4.714285714285714,22.130602525252527,5,42
3,2022-04-17,0.3429286608260325,1,4.571428571428571,29.077213541666673,6,40
3,2022-04-18,0.3693181818181818,1,5.0,30.664939523809522,3,46
3,2022-04-19,0.1,0,4.714285714285714,30.388350000000003,9,41
3,2022-04-20,0.248,1,5.428571428571429,26.101919736842103,6,40
3,2022-04-21,0.28718703976435933,1,5.428571428571429,28.167479824561408,7,36
3,2022-04-22,0.34303534303534305,1,5.714285714285714,28.931604583333332,7,36
3,2022-04-23,0.3911671924290221,1,6.142857142857143,30.02426046511628,4,34
3,2022-04-24,0.05133928571428571,0,6.0,27.334083333333336,4,36
3,2022-04-25,0.32116788321167883,1,5.714285714285714,24.016295000000003,9,29
3,2022-04-26,0.4557522123893805,1,6.571428571428571,26.845890579710147,4,32
3,2022-04-27,0.3522727272727273,1,5.857142857142857,31.371917886178863,5,33
3,2022-04-28,0.3368421052631579,1,5.714285714285714,30.878092916666663,3,37
3,2022-04-29,0.45866666666666667,1,5.142857142857143,32.7789337962963,7,37
3,2022-04-30,0.2801418439716312,1,5.142857142857143,34.35882638888889,2,37
3,2022-05-01,0.2962138084632517,1,4.857142857142857,34.317856372549016,6,37
4,2022-04-15,0.26436781609195403,1,5.142857142857143,41.1862763888889,5,38
4,2022-04-16,0.34893617021276596,1,5.0,44.90148714285714,5,39
4,2022-04-17,0.3114754098360656,1,5.0,45.63148095238095,7,37
4,2022-04-18,0.2903225806451613,1,5.142857142857143,41.25577638888889,5,39
4,2022-04-19,0.20675105485232068,1,5.0,46.65470238095238,4,43
4,2022-04-20,0.3298538622129436,1,5.0,38.535221904761904,5,45
4,2022-04-21,0.13714285714285715,1,5.428571428571429,42.893392982456135,5,45
4,2022-04-22,0.22404371584699453,1,5.142857142857143,42.26348935185186,7,45
4,2022-04-23,0.2346688470973017,1,5.428571428571429,41.65588684210526,6,43
4,2022-04-24,0.1609105180533752,1,5.571428571428571,42.480931623931625,5,42
4,2022-04-25,0.2484008528784648,1,5.285714285714286,47.35227927927929,7,41
4,2022-04-26,0.1580411797440178,1,5.571428571428571,42.209027350427355,8,37
4,2022-04-27,0.18815331010452963,1,6.142857142857143,43.42063217054263,7,36
4,2022-04-28,0.12280701754385964,1,6.428571428571429,40.23750777777777,5,36
4,2022-04-29,0.15784215784215785,1,6.428571428571429,44.435763333333334,7,38
4,2022-04-30,0.13797313797313798,1,6.428571428571429,45.79093814814815,4,39
4,2022-05-01,0.09027777777777778,1,6.142857142857143,43.35341782945736,4,38
5,2022-04-15,0.11764705882352941,1,5.142857142857143,19.305037962962967,1,33
5,2022-04-16,0.30996309963099633,1,4.571428571428571,18.897025520833335,4,33
5,2022-04-17,0.3125,1,4.142857142857143,23.51829827586207,7,32
5,2022-04-18,0.3111111111111111,1,4.571428571428571,20.9527734375,6,31
5,2022-04-19,0.24,1,4.571428571428571,18.8969328125,6,31
5,2022-04-20,0.20408163265306123,1,4.714285714285714,21.194816161616163,4,37
5,2022-04-21,0.2782608695652174,1,4.571428571428571,19.6778453125,4,39
5,2022-04-22,0.5769230769230769,1,4.571428571428571,16.400971875,2,41
