session_date,daily_active_users,sessions,interactions,long_views,long_view_rate,avg_interactions_per_session,avg_session_duration_minutes,explicit_positive_action_rate,hate_rate
2022-04-08,885,4747,366922,95920,0.2614179580401284,77.29555508742364,33.5049126184959,0.03433427267920702,0.00016897324226947417
2022-04-09,900,4961,405114,106996,0.2641133113148398,81.65974601894779,35.870094769199746,0.03669584363907443,0.0002567178621326343
2022-04-10,900,4845,401288,105686,0.2633669583939714,82.8251805985552,36.14125250085998,0.03614610952732202,0.0007974322680967286
2022-04-11,869,4563,369552,94425,0.255512079490843,80.98882314266929,34.519118441814605,0.031814196648915445,0.0010823916525955753
2022-04-12,845,4384,345045,85417,0.24755321769624253,78.7055200729927,33.33326834321777,0.032071179121563854,0.0016200785404802273
2022-04-13,847,4326,346594,88667,0.2558238169154688,80.11881645862228,34.3807676876252,0.03503811375846091,0.0021292924863096302
2022-04-14,858,4435,325669,86299,0.2649899130712472,73.4315670800451,32.55908733934611,0.03409289800380141,0.0013357120266282636
2022-04-15,898,4560,367148,96496,0.26282589037663284,80.51491228070175,34.514884510233905,0.03510028653295129,0.002211642171549348
2022-04-16,920,4911,384293,111221,0.28941718948822903,78.25147627774383,36.874665061426725,0.039248698258880596,0.0028884210745446833
2022-04-17,907,4937,396217,107587,0.271535547439913,80.25460806157585,35.84963191546823,0.03700749841627189,0.0032810303444829473
2022-04-18,867,4380,332843,87232,0.26208152191874245,75.99155251141552,32.788549478691,0.03433450605841192,0.0032057156076588664
2022-04-19,868,4475,342127,88579,0.25890678023073305,76.45296089385475,33.00084770204841,0.03499285353099872,0.0026978285841222703
2022-04-20,864,4449,338608,90109,0.2661159807210698,76.1087884917959,32.73647239079943,0.03315338090062846,0.002427585881018759
2022-04-21,868,4560,342026,89122,0.2605708337962611,75.00570175438597,32.13646472953216,0.03059416535585014,0.00022512908375386665
2022-04-22,919,4722,373433,97186,0.2602501653576411,79.08365099534096,33.86907071509248,0.0341640936928445,0.0002918863624800165
2022-04-23,936,5076,418061,112256,0.2685158385977166,82.36032308904649,35.91888514578407,0.03738688851626916,0.0002774714694745504
2022-04-24,889,4672,350729,91073,0.25966772066182153,75.07041952054794,32.57882617722603,0.035009936446658244,0.00030507885005231957
2022-04-25,877,4507,339270,91489,0.26966427918766767,75.27623696472155,32.59614785149029,0.03422642732926578,0.0002711704542105108
2022-04-26,879,4587,350002,93482,0.2670899023434152,76.3030303030303,32.89211560206382,0.03325123856435106,0.00031142679184690376
2022-04-27,882,4616,348565,91853,0.26351756487312267,75.51234835355287,32.65769754838244,0.03413136717685367,0.0002094300919484171
2022-04-28,886,4560,348785,91443,0.26217583898390123,76.48793859649123,33.65283471125731,0.03406969909829838,0.0002551715240047594
2022-04-29,939,4862,393064,99956,0.25429955427106016,80.84409707939119,34.362898255176205,0.034170007937638656,0.00026458795514216517
2022-04-30,940,5197,439687,117021,0.26614614487123794,84.60400230902444,36.50018825283816,0.03724467632656867,0.0003184083222838064
2022-05-01,947,5181,439773,116632,0.26520955129123436,84.88187608569774,37.08469859422247,0.0376262298958781,0.00042521937454095636
2022-05-02,955,5145,427276,110056,0.25757589941864273,83.04684159378037,35.639644907677365,0.036852058154448177,0.0004540390754453796
2022-05-03,947,5241,440170,111887,0.2541904264261535,83.98588055714558,35.40338788081154,0.03730604084785424,0.0005157098393802394
2022-05-04,945,5181,405720,106972,0.2636596667652568,78.30920671685003,34.60567189410023,0.03855368234250222,0.0002735876959479444
2022-05-05,911,4825,385300,97237,0.25236698676356084,79.85492227979275,33.470258797927464,0.033649104593823,0.0003322086685699455
2022-05-06,902,4833,394391,100696,0.255320227895667,81.60376577695014,34.279387150838,0.03555354964996666,0.0002256643787510364
2022-05-07,940,4917,395454,102669,0.2596231167215403,80.42586943258084,34.63535758931598,0.03867200736368832,0.00027057508585069315
2022-05-08,939,5097,399919,103797,0.25954505787421955,78.46164410437513,34.56942532535477,0.037377568957713936,0.0003625734211177763
