tab,interactions,users,click_or_valid_play_rate,long_view_rate,like_rate,follow_rate,comment_rate,forward_rate,hate_rate,profile_enter_rate,avg_play_time_ms,avg_video_duration_ms
1,7717601,991,0.44539410627732634,0.3167182392559553,0.019273994600135458,0.001195449207597024,0.0031893330582910416,0.0009850211224964856,0.00032587846922897413,0.020120501176466625,18191.100473450235,73467.43830122858
0,2407352,961,0.1200501630006746,0.03964729711317663,0.004303483661716276,0.0003418694067174223,0.0008312037458585201,0.00014414177901694476,0.0032699829522230234,0.012053492800388144,2278.9791958134915,66774.79897165018
4,895385,832,0.5604974396488661,0.4276517922457937,0.01874947648218364,0.0007359962474242924,0.00355601221820781,0.0005986251724118675,0.00036185551466687515,0.020047242247748176,20192.52798181788,67287.54253868447
2,402293,171,0.3909091135068221,0.3087351756058395,0.013211763565361564,0.0011335021986462602,0.002997815025367083,0.0015859087779305134,0.00015660227744454912,0.015212792666041915,18662.947749525843,78990.46457184192
6,183403,832,0.18096214347638806,0.08650894478280072,0.006995523519244505,0.0011450194380680796,0.0005234374574025507,0.00026171872870127535,0.0003271484108765942,0.0062158198066552895,6673.545051062414,76451.83555339879
3,37418,663,0.024506921802341118,0.0040889411513175475,0.0005345021112833396,0.00016035063338500186,0.00021380084451333583,8.017531669250093e-05,0.00029397616120583676,0.0012828050670800149,238.04388262333637,66452.45459404564
11,17574,12,0.0002845112097416638,0.045863207010356205,0.000967338113121657,5.6902241948332766e-05,5.6902241948332766e-05,5.6902241948332766e-05,0.00011380448389666553,0.0,2099.572777967452,74346.90656651872
8,17430,154,0.03557085484796328,0.018129661503155477,0.0010327022375215145,5.7372346528973036e-05,0.0,5.7372346528973036e-05,0.0,0.0,1926.660413080895,205252.5339070568
5,16424,103,0.2134072089624939,0.11154408183146615,0.004262055528494886,0.0003653190452995616,0.00024354603019970775,0.00042620555284948855,0.00042620555284948855,0.005114466634193863,8012.000913297613,82066.9976254262
12,11007,92,0.11765240301626238,0.08839829199600255,0.0009085127646043427,0.00018170255292086854,0.0,0.0,0.0,0.00018170255292086854,7548.796493140729,183887.96456800218
7,3833,61,0.5095225671797547,0.3104617792851552,0.03913383772501957,0.0015653535090007827,0.002869814766501435,0.001826245760500913,0.0005217845030002609,0.00026089225150013044,21647.915731802765,81905.68562483694
9,1911,79,0.9952904238618524,0.32339089481946626,0.009942438513867086,0.0010465724751439038,0.0005232862375719519,0.0,0.0,0.012558869701726845,39502.117216117214,208647.0962846677
10,952,48,0.9989495798319328,0.6596638655462185,0.01365546218487395,0.0,0.0,0.0,0.0,0.022058823529411766,90818.87605042016,194719.9506302521
14,445,4,0.0,0.47415730337078654,0.06741573033707865,0.0,0.0,0.0022471910112359553,0.0,0.0,22415.759550561797,59881.667415730335
13,17,3,0.29411764705882354,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,9565.941176470587,73662.0
