user_id,activity_date,dominant_tab,long_view_rate_t,prior_7d_sessions_per_day,prior_7d_avg_minutes_per_session,sessions_t,future_7d_sessions
10,2022-04-15,2,0.3333333333333333,0.2857142857142857,8.16065,2,23
10,2022-04-16,2,0.2823529411764706,0.5714285714285714,6.4761,5,24
10,2022-04-17,2,0.2318840579710145,1.2857142857142858,7.490216666666665,1,25
10,2022-04-18,2,0.39622641509433965,1.4285714285714286,9.720415,3,25
10,2022-04-19,2,0.6666666666666666,1.8571428571428572,14.696751282051281,2,27
10,2022-04-20,2,0.5625,2.142857142857143,14.390585555555555,5,29
10,2022-04-21,2,0.2903225806451613,2.7142857142857144,12.09089298245614,3,33
10,2022-04-22,2,0.5,3.0,10.80693492063492,4,34
10,2022-04-23,2,0.6933333333333334,3.2857142857142856,11.87742028985507,6,34
10,2022-04-24,2,0.7,3.4285714285714284,13.38448611111111,2,39
10,2022-04-25,2,0.5952380952380952,3.5714285714285716,12.565238666666666,3,40
10,2022-04-26,2,0.5652173913043478,3.5714285714285716,12.573582000000002,4,42
10,2022-04-27,1,0.5675675675675675,3.857142857142857,13.762601851851851,7,39
10,2022-04-29,2,0.5579710144927537,4.714285714285714,22.574388383838382,5,41
10,2022-04-30,2,0.4534412955465587,4.857142857142857,24.95160931372549,6,37
10,2022-05-01,1,0.24,4.857142857142857,26.922877941176473,7,38
12,2022-04-21,2,0.0,0.42857142857142855,28.6983,3,16
12,2022-04-22,2,0.0,0.42857142857142855,0.0,5,11
12,2022-04-23,2,0.25,1.1428571428571428,0.0,3,9
12,2022-04-24,1,0.42857142857142855,1.5714285714285714,7.262003030303029,3,7
12,2022-04-26,1,0.4,2.0,5.705859523809523,2,10
12,2022-04-27,2,0.6666666666666666,2.2857142857142856,5.370459374999999,2,13
12,2022-04-28,2,0.0,2.5714285714285716,6.677707407407407,1,16
12,2022-04-30,2,0.0,1.5714285714285714,10.927157575757574,1,22
12,2022-05-01,2,0.0,1.2857142857142858,4.479633333333333,1,22
34,2022-04-15,2,0.5874125874125874,1.2857142857142858,112.20516296296296,3,15
34,2022-04-16,1,0.46782178217821785,1.4285714285714286,88.85574666666668,10,6
34,2022-04-17,1,0.32371794871794873,2.142857142857143,46.23293888888889,4,2
34,2022-04-21,2,0.0,2.4285714285714284,38.26260882352941,1,1
34,2022-04-23,2,0.0,2.142857142857143,34.49200888888889,1,9
34,2022-04-29,1,0.26420454545454547,0.14285714285714285,0.0,2,42
34,2022-04-30,1,0.39076576576576577,0.42857142857142855,90.76568333333334,7,45
34,2022-05-01,1,0.3213166144200627,1.2857142857142858,79.47634074074075,8,42
70,2022-04-15,1,0.48484848484848486,4.0,31.727431547619044,5,43
70,2022-04-16,1,0.24118738404452691,4.142857142857143,30.832143103448278,5,41
70,2022-04-17,1,0.28253968253968254,4.428571428571429,31.85908440860215,8,36
70,2022-04-18,1,0.391304347826087,4.857142857142857,30.20151225490196,1,39
70,2022-04-19,1,0.3287671232876712,4.571428571428571,31.698134375000002,7,37
70,2022-04-20,1,0.22304832713754646,4.571428571428571,31.70937447916667,8,37
70,2022-04-21,1,0.2714285714285714,5.285714285714286,25.53962162162162,7,37
70,2022-04-22,1,0.35,5.857142857142857,23.16773536585366,7,36
70,2022-04-23,1,0.5147058823529411,6.142857142857143,21.749191860465114,3,38
70,2022-04-24,2,0.35789473684210527,5.857142857142857,20.71155650406504,3,44
70,2022-04-26,1,0.4057142857142857,5.571428571428571,25.892101282051282,5,53
70,2022-04-27,1,0.11979695431472082,5.285714285714286,23.581455855855857,8,54
70,2022-04-28,1,0.28169014084507044,5.285714285714286,28.95282252252252,7,55
70,2022-04-29,1,0.27708333333333335,5.285714285714286,31.956684234234228,6,57
70,2022-04-30,1,0.36258278145695366,5.142857142857143,36.63174629629629,5,61
70,2022-05-01,1,0.29974811083123426,5.428571428571429,39.403963596491224,9,59
77,2022-04-17,2,0.0,0.5714285714285714,25.664883333333336,1,1
77,2022-04-18,2,0.6888888888888889,0.42857142857142855,4.922233333333334,1,0
77,2022-05-01,1,0.38426453819840367,0.14285714285714285,108.48538333333333,6,27
82,2022-04-15,1,0.11505922165820642,5.0,59.521752380952385,5,29
82,2022-04-16,1,0.13787638668779714,5.428571428571429,58.39031096491228,3,30
82,2022-04-17,1,0.10957178841309824,4.857142857142857,59.6226681372549,6,28
82,2022-04-18,1,0.1735966735966736,4.428571428571429,60.56183333333333,3,29
82,2022-04-19,1,0.15610328638497653,4.142857142857143,67.51931781609196,3,30
82,2022-04-21,1,0.09879032258064516,4.142857142857143,61.04120229885058,5,30
82,2022-04-22,2,0.20236686390532543,4.285714285714286,57.98256055555556,4,32
82,2022-04-23,1,0.16666666666666666,4.142857142857143,57.09767586206896,4,39
