user_id,preferred_category,secondary_category,novelty_preference,social_preference,preferred_session_minutes
0,Puzzle,Adventure,0.20475702272961807,0.567775277903636,29
1,Strategy,Sports,0.3508883708904499,0.24370198625620845,12
2,Puzzle,Action,0.32517810912015566,0.6345084531609247,24
3,Adventure,Action,0.3497200426062143,0.3966967011775072,50
4,Sports,Adventure,0.6276357144495875,0.7567099222744452,43
5,Simulation,Action,0.5773067262079463,0.11576315775448634,45
6,Action,Creative,0.4908872770787858,0.4723499023023099,50
7,Action,Strategy,0.6404978666621097,0.21305873524534533,45
8,Creative,Social,0.8102480228653487,0.5705167914039545,12
9,Puzzle,Simulation,0.29934355875258795,0.42399718367800837,13
10,Simulation,Puzzle,0.902223087754051,0.16871040857877578,40
11,Puzzle,Simulation,0.48527784269418256,0.870087119461988,52
12,Social,Puzzle,0.5779274348262325,0.5615544822388173,18
13,Creative,Puzzle,0.4926834838463674,0.1059931363095801,39
14,Social,Simulation,0.5816528784578859,0.8313799625665546,53
15,Puzzle,Adventure,0.28285444392090064,0.1917227586377731,55
16,Simulation,Social,0.7058526202323885,0.813787326567853,12
17,Adventure,Action,0.25224523602737525,0.42407494453062383,44
18,Strategy,Simulation,0.46389663893602046,0.38611788805101604,38
19,Strategy,Action,0.6031914102094686,0.7556534871954608,10
20,Strategy,Sports,0.07649302139403323,0.07098298747295122,26
21,Action,Puzzle,0.5713914907511481,0.7448388959092858,30
22,Social,Adventure,0.8334832108831476,0.5232595333524971,37
23,Strategy,Puzzle,0.6527172866915267,0.571289386613503,10
24,Sports,Action,0.018756634247712376,0.10595451014365771,34
25,Puzzle,Sports,0.5577891462377893,0.7005164655412413,33
26,Simulation,Sports,0.30864779554525623,0.6503959108762601,14
27,Social,Simulation,0.6548533759498939,0.30834825584312053,55
28,Simulation,Creative,0.668913366532042,0.3490299385904939,41
29,Puzzle,Adventure,0.43621925226170577,0.34738906066335196,16
30,Creative,Adventure,0.8329890302552374,0.045791828733310114,24
31,Puzzle,Sports,0.7238924559791154,0.7005937665347985,47
32,Action,Sports,0.48604447907101855,0.5892837462693579,55
33,Strategy,Social,0.39723664196291864,0.8554234704714564,11
34,Simulation,Creative,0.22775256595523558,0.6641129512864578,10
35,Strategy,Social,0.4318282758092654,0.8708205408799516,33
36,Creative,Simulation,0.6385528282367291,0.61500548577104,33
37,Social,Creative,0.4074692588140211,0.14270900223928729,22
38,Action,Strategy,0.6277124364182798,0.8343067224928379,51
39,Strategy,Adventure,0.7730279382606403,0.6115192521557034,37
40,Puzzle,Social,0.597754004415354,0.24150830888965816,26
41,Creative,Adventure,0.9357901090549007,0.7959058576563091,18
42,Simulation,Strategy,0.7567576198575581,0.4726161324403463,17
43,Puzzle,Action,0.8102442261486626,0.9404811930268411,45
44,Adventure,Action,0.2973105911172372,0.27279675137928866,40
45,Puzzle,Simulation,0.6293647508010741,0.4403592702984529,22
46,Action,Puzzle,0.5404026176689226,0.23743395024680922,40
47,Strategy,Action,0.6814154386427741,0.437437033722563,46
48,Adventure,Strategy,0.9098614033427141,0.36810883403199135,23
49,Creative,Action,0.3669830140011828,0.4411491411660861,40
50,Puzzle,Adventure,0.5442977036889903,0.795326137919222,41
51,Puzzle,Sports,0.3220725187035839,0.6623332968058295,29
52,Simulation,Social,0.24138145562734048,0.6767977685338706,31
53,Creative,Simulation,0.6273058982796391,0.5692009746773848,21
54,Action,Puzzle,0.7077671821061907,0.6632711021211132,34
55,Strategy,Social,0.7802008290149133,0.798104274492853,31
56,Strategy,Simulation,0.7895405489249249,0.2265666685071464,32
57,Puzzle,Action,0.5115034064858688,0.6825397215372595,18
58,Adventure,Strategy,0.26978366080563654,0.5291450612270583,53
