user_id,experience_id,experience_name,category,quality_score,popularity_score,novelty_score,difficulty,avg_session_minutes,preferred_category,secondary_category,novelty_preference,social_preference,preferred_session_minutes,primary_category_match,secondary_category_match,session_length_gap,novelty_alignment,meaningful_engagement,split_random,prior_exposures,prior_engagement_rate,baseline_score,personalized_score,rank
0,1108,Experience 1108,Puzzle,0.8425576923542274,0.4822507608830354,0.666849920378606,0.8027206052883656,21,Puzzle,Adventure,0.204757022729618,0.567775277903636,29,1.0,0.0,0.1333333333333333,0.537907102351012,1,0.7307519363712538,92,0.2717391304347826,0.2664806021418468,0.7713057369667898,1
0,1075,Experience 1075,Puzzle,0.7701763699744956,0.5714931074517187,0.7080993700732455,0.0043057756676786,58,Puzzle,Adventure,0.204757022729618,0.567775277903636,29,1.0,0.0,0.4833333333333333,0.4966576526563725,0,0.8197545615930021,114,0.22807017543859648,0.23019274208870782,0.7434668985543429,2
0,1102,Experience 1102,Sports,0.9402838286695968,0.4125021221616953,0.1907643304361418,0.200562471321554,40,Puzzle,Adventure,0.204757022729618,0.567775277903636,29,0.0,0.0,0.1833333333333333,0.9860073077065236,0,0.9171225725476023,117,0.3076923076923077,0.29814472583859014,0.5044177528177747,3
0,1014,Experience 1014,Social,0.7084360738896248,0.6919622480914536,0.5066406143622445,0.7631554898199004,35,Puzzle,Adventure,0.204757022729618,0.567775277903636,29,0.0,0.0,0.1,0.6981164083673735,0,0.8661274307382429,117,0.29914529914529914,0.29084545576559745,0.4786388639937035,4
0,1033,Experience 1033,Simulation,0.8859147305780027,0.259942782541492,0.2648265360525452,0.1086571032622624,31,Puzzle,Adventure,0.204757022729618,0.567775277903636,29,0.0,0.0,0.0333333333333333,0.9399304866770728,0,0.7991251286200829,120,0.275,0.27032733885633464,0.45821262125092815,5
1,1034,Experience 1034,Strategy,0.5016628944231066,0.7184788322001798,0.7569144817322334,0.2251776661055454,11,Strategy,Sports,0.3508883708904499,0.2437019862562084,12,1.0,0.0,0.0166666666666666,0.5939738891582165,0,0.7649636461036484,132,0.2196969696969697,0.22266991736767663,0.724969957128634,1
1,1083,Experience 1083,Sports,0.5638116113845065,0.5523903507798276,0.3674940432740611,0.3952346537588943,26,Strategy,Sports,0.3508883708904499,0.2437019862562084,12,0.0,1.0,0.2333333333333333,0.9833943276163888,0,0.7438791073196565,122,0.22950819672131148,0.23130864394286513,0.594490730203359,2
1,1049,Experience 1049,Sports,0.4370836638665348,0.2536527377340197,0.5512982630814426,0.1951855298186556,20,Strategy,Sports,0.3508883708904499,0.2437019862562084,12,0.0,1.0,0.1333333333333333,0.7995901078090073,0,0.8110221113180831,122,0.19672131147540983,0.20313962985835807,0.5267394498169806,3
1,1053,Experience 1053,Puzzle,0.7426572934279929,0.7514869168546299,0.2904976508730454,0.8341208920021081,34,Strategy,Sports,0.3508883708904499,0.2437019862562084,12,0.0,0.0,0.3666666666666666,0.9396092799825956,0,0.9461134210107419,102,0.3431372549019608,0.3266051429498922,0.44551360396086476,4
1,1085,Experience 1085,Social,0.715133524882573,0.3923165755464828,0.681782684374937,0.3715432084063615,41,Strategy,Sports,0.3508883708904499,0.2437019862562084,12,0.0,0.0,0.4833333333333333,0.6691056865155128,0,0.7588103210038678,117,0.24786324786324787,0.24704983532764122,0.4330739447787881,5
2,1072,Experience 1072,Puzzle,0.7449779069249327,0.3414623639761886,0.973475515285742,0.3783180142237856,25,Puzzle,Action,0.3251781091201556,0.6345084531609247,24,1.0,0.0,0.0166666666666666,0.3517025938344136,0,0.9310793496117601,119,0.21008403361344538,0.21471818302076867,0.74441945618337,1
2,1006,Experience 1006,Action,0.8770181756508404,0.5275353377269014,0.8047332447846338,0.7517807092307816,28,Puzzle,Action,0.3251781091201556,0.6345084531609247,24,0.0,1.0,0.0666666666666666,0.5204448643355218,1,0.8121121105135765,103,0.27184466019417475,0.26703924747875485,0.5968012790199383,2
2,1036,Experience 1036,Sports,0.9655169972756756,0.2298411882545339,0.2550485289661252,0.8478368672236546,17,Puzzle,Action,0.3251781091201556,0.6345084531609247,24,0.0,0.0,0.1166666666666666,0.9298704198459696,0,0.798843598059114,129,0.26356589147286824,0.2607102512744084,0.48676603953516806,3
2,1084,Experience 1084,Social,0.6722561348379004,0.2863456816441453,0.5362524927433157,0.7470758006298863,26,Puzzle,Action,0.3251781091201556,0.6345084531609247,24,0.0,0.0,0.0333333333333333,0.78892561637684,1,0.8977682889262575,111,0.35135135135135137,0.3347009728235637,0.4630525511732243,4
2,1098,Experience 1098,Social,0.534058177188557,0.4459803600128759,0.2707495249900757,0.7298152463028666,35,Puzzle,Action,0.3251781091201556,0.6345084531609247,24,0.0,0.0,0.1833333333333333,0.94557141586992,0,0.7564789701459572,130,0.26153846153846155,0.25897218293257895,0.44362087318308624,5
3,1040,Experience 1040,Adventure,0.8007594991172722,0.3266907558049443,0.1528993913771743,0.3143479426299048,10,Adventure,Action,0.3497200426062143,0.3966967011775072,50,1.0,0.0,0.6666666666666666,0.80317934877096,1,0.927480196623524,109,0.2018348623853211,0.20810718945648718,0.7220508830225103,1
3,1024,Experience 1024,Sports,0.7120515552427965,0.5535760301547662,0.4935230317114728,0.4609313910731102,39,Adventure,Action,0.3497200426062143,0.3966967011775072,50,0.0,0.0,0.1833333333333333,0.8561970108947414,0,0.9548990589630153,138,0.2608695652173913,0.25851789518915724,0.44966953628139383,2
3,1062,Experience 1062,Creative,0.7566608128373626,0.2501254620138091,0.431135077105207,0.8144738760309339,50,Adventure,Action,0.3497200426062143,0.3966967011775072,50,0.0,0.0,0.0,0.9185849655010072,0,0.9816170341916325,118,0.2033898305084746,0.20902773507164382,0.44467544569780504,3
3,1060,Experience 1060,Strategy,0.8620933017122632,0.1051567799118504,0.3772606570904063,0.1400554046894906,58,Adventure,Action,0.3497200426062143,0.3966967011775072,50,0.0,0.0,0.1333333333333333,0.972459385515808,0,0.7248929341642392,102,0.27450980392156865,0.2692280937695643,0.4399840818239167,4
3,1007,Experience 1007,Social,0.6113602755027672,0.3693255620200327,0.760432490906593,0.3138467721116466,56,Adventure,Action,0.3497200426062143,0.3966967011775072,50,0.0,0.0,0.1,0.5892875516996212,0,0.9605537283750304,112,0.24107142857142858,0.24125626848399126,0.4361407508314873,5
4,1024,Experience 1024,Sports,0.7120515552427965,0.5535760301547662,0.4935230317114728,0.4609313910731102,39,Sports,Adventure,0.6276357144495875,0.7567099222744452,43,1.0,0.0,0.0666666666666666,0.8658873172618853,1,0.7594500770851804,138,0.2608695652173913,0.25851789518915724,0.8146290285566604,1
4,1014,Experience 1014,Social,0.7084360738896248,0.6919622480914536,0.5066406143622445,0.7631554898199004,35,Sports,Adventure,0.6276357144495875,0.7567099222744452,43,0.0,0.0,0.1333333333333333,0.879004899912657,1,0.8046731375182149,117,0.29914529914529914,0.29084545576559745,0.5243598303813731,2
4,1044,Experience 1044,Action,0.8578996664042653,0.7405382156713768,0.540545681694017,0.9388053542070384,40,Sports,Adventure,0.6276357144495875,0.7567099222744452,43,0.0,0.0,0.05,0.9129099672444294,0,0.9883428581168391,112,0.2857142857142857,0.27913505636277913,0.5137137680222892,3
4,1052,Experience 1052,Creative,0.6879474895864814,0.8150878066775633,0.5427584275418881,0.4028796085076296,43,Sports,Adventure,0.6276357144495875,0.7567099222744452,43,0.0,0.0,0.0,0.9151227130923004,1,0.7563620917434525,129,0.3178294573643411,0.30769011704622046,0.48774962608963984,4
4,1109,Experience 1109,Social,0.5415451963988065,0.6320276759129257,0.4602651355822746,0.2660308726216652,48,Sports,Adventure,0.6276357144495875,0.7567099222744452,43,0.0,0.0,0.0833333333333333,0.832629421132687,0,0.8594820876566842,125,0.312,0.30238501682680585,0.48064044854813626,5
5,1028,Experience 1028,Simulation,0.7474374024719366,0.7598079156453001,0.9057260947827066,0.4943145335346177,16,Simulation,Action,0.5773067262079463,0.1157631577544863,45,1.0,0.0,0.4833333333333333,0.6715806314252397,0,0.7742271169746721,122,0.22950819672131148,0.23130864394286513,0.7316544534668044,1
5,1114,Experience 1114,Simulation,0.9094073794904848,0.2867325336723821,0.0751050358773748,0.4020477981570693,23,Simulation,Action,0.5773067262079463,0.1157631577544863,45,1.0,0.0,0.3666666666666666,0.4977983096694285,0,0.9940722747136872,138,0.2318840579710145,0.23320143949295472,0.6964605620899142,2
5,1000,Experience 1000,Action,0.9096695293967186,0.6516437731703687,0.6290364009047581,0.2407530712142694,49,Simulation,Action,0.5773067262079463,0.1157631577544863,45,0.0,1.0,0.0666666666666666,0.9482703253031882,1,0.9725097699578843,124,0.3225806451612903,0.31142935722143644,0.6575822453305125,3
5,1035,Experience 1035,Action,0.684933354468736,0.2628151072276272,0.2926692360835166,0.7930049789596304,54,Simulation,Action,0.5773067262079463,0.1157631577544863,45,0.0,1.0,0.15,0.7153625098755703,0,0.7353263140408638,144,0.14583333333333334,0.15759650877979783,0.507889969246637,4
5,1074,Experience 1074,Social,0.7411737446379107,0.1336446501121093,0.5667526591354218,0.2130749343990023,32,Simulation,Action,0.5773067262079463,0.1157631577544863,45,0.0,0.0,0.2166666666666666,0.9894459329274756,0,0.8083294068333273,149,0.2953020134228188,0.28902856473305827,0.46212178109580626,5
6,1086,Experience 1086,Action,0.6307900998772656,0.1325899003231649,0.3014212434741936,0.1888364204756389,42,Action,Creative,0.4908872770787858,0.4723499023023099,50,1.0,0.0,0.1333333333333333,0.8105339663954079,0,0.888985033882593,127,0.2283464566929134,0.2302437240808629,0.771556119286848,1
6,1067,Experience 1067,Creative,0.788764048918011,0.4580972487220676,0.5921026845821029,0.4299570499000478,43,Action,Creative,0.4908872770787858,0.4723499023023099,50,0.0,1.0,0.1166666666666666,0.8987845924966829,1,0.7053805876830577,119,0.31092436974789917,0.30104911827256725,0.6647124601930458,2
6,1065,Experience 1065,Creative,0.7619316682455927,0.3645751585148475,0.2630179910479239,0.9645188861392016,47,Action,Creative,0.4908872770787858,0.4723499023023099,50,0.0,1.0,0.05,0.7721307139691381,1,0.8257275903360136,114,0.22807017543859648,0.23019274208870782,0.621322309970715,3
6,1061,Experience 1061,Social,0.9515114053456256,0.4883887845440612,0.3838014404080356,0.6777086144544695,56,Action,Creative,0.4908872770787858,0.4723499023023099,50,0.0,0.0,0.1,0.8929141633292498,1,0.7674619528407322,113,0.3274336283185841,0.3146302815029086,0.6021870475566284,4
6,1085,Experience 1085,Social,0.715133524882573,0.3923165755464828,0.681782684374937,0.3715432084063615,41,Action,Creative,0.4908872770787858,0.4723499023023099,50,0.0,0.0,0.15,0.8091045927038487,0,0.9533772520242428,117,0.24786324786324787,0.24704983532764122,0.5279243944335398,5
7,1006,Experience 1006,Action,0.8770181756508404,0.5275353377269014,0.8047332447846338,0.7517807092307816,28,Action,Strategy,0.6404978666621097,0.2130587352453453,45,1.0,0.0,0.2833333333333333,0.8357646218774759,0,0.8867585788837333,103,0.27184466019417475,0.26703924747875485,0.8106768108394714,1
7,1075,Experience 1075,Puzzle,0.7701763699744956,0.5714931074517187,0.7080993700732455,0.0043057756676786,58,Action,Strategy,0.6404978666621097,0.2130587352453453,45,0.0,0.0,0.2166666666666666,0.9323984965888642,0,0.712645561692944,114,0.22807017543859648,0.23019274208870782,0.4859596780593322,2
7,1110,Experience 1110,Creative,0.8487034770737338,0.6513439158584452,0.7080979103356375,0.2741343936886083,18,Action,Strategy,0.6404978666621097,0.2130587352453453,45,0.0,0.0,0.45,0.9323999563264722,0,0.9009763288814493,109,0.28440366972477066,0.2778746313169523,0.46836771165495844,3
7,1039,Experience 1039,Social,0.8194814495513689,0.2752805682140255,0.2419454802582048,0.889899007072331,47,Action,Strategy,0.6404978666621097,0.2130587352453453,45,0.0,0.0,0.0333333333333333,0.6014476135960951,0,0.7790989892058833,110,0.2636363636363636,0.2603525187683603,0.4667304498514311,4
7,1058,Experience 1058,Social,0.5666390936836835,0.5294440043668863,0.4156619036213059,0.2647117106195373,52,Action,Strategy,0.6404978666621097,0.2130587352453453,45,0.0,0.0,0.1166666666666666,0.7751640369591961,0,0.8789254011293394,100,0.32,0.30704856199905706,0.45828859534850763,5
8,1065,Experience 1065,Creative,0.7619316682455927,0.3645751585148475,0.2630179910479239,0.9645188861392016,47,Creative,Social,0.8102480228653487,0.5705167914039545,12,1.0,0.0,0.5833333333333334,0.4527699681825752,0,0.8305270921698618,114,0.22807017543859648,0.23019274208870782,0.7151713866788384,1
8,1059,Experience 1059,Social,0.7489549716721217,0.4911530499138364,0.6826986067555766,0.9132851837019758,49,Creative,Social,0.8102480228653487,0.5705167914039545,12,0.0,1.0,0.6166666666666667,0.8724505838902279,0,0.9579676773919394,105,0.34285714285714286,0.32676661951909475,0.6625466446553909,2
8,1058,Experience 1058,Social,0.5666390936836835,0.5294440043668863,0.4156619036213059,0.2647117106195373,52,Creative,Social,0.8102480228653487,0.5705167914039545,12,0.0,1.0,0.6666666666666666,0.6054138807559573,0,0.8991233742848852,100,0.32,0.30704856199905706,0.5697097516261989,3
